district,subject of transaction,total land transfer area square meters,urban land use zoning,non-urban land Use zoning,non-urban land use planning,transaction year and month,number of transaction pens,transfer level,total floors,building type,main use,main building material,year and month of completion of construction,total area of building transfer square meters,construction status-room,construction status-hall,construction status-bathroom,construction status-compartment,with or without management organization,total price,unit price per square meter,parking category,Car displacement to total area square meters,total parking price,numbers
Yonghe,House and land (land + building),20.99,Living,,,1080607,ground2 house1 park0,2,4,apartment,living,strengthen brickwork,650127.0,67.28,3,2,1,Yes,No,6340000,94233.0,,0.0,0,RPUSMLPJQHOFFHF47CA
Zhonghe,House and land (land + building),24.11,Living,,,1080621,ground1 house1 park0,3,4,apartment,living,reinforced concrete construction,670915.0,82.69,3,1,1,Yes,No,4350000,52606.0,,0.0,0,RPQPMLLMPHOFFHF56CA
Zhonghe,House and land (land + building),27.86,Living,,,1080625,ground1 house1 park0,2,4,apartment,living,reinforced concrete construction,661022.0,69.51,3,1,1,Yes,No,7200000,103582.0,,0.0,0,RPSPMLLMPHOFFHF76CA
Sanzhong,House and land (land + building),26.25,Living,,,1080619,ground1 house1 park0,3,4,apartment,living,reinforced concrete construction,661219.0,83.0,2,2,1,Yes,No,7800000,93976.0,,0.0,0,RPRNMLPKQHOFFGF66CA
Jinshan,House and land (land + building),67.75,Living,,,1080330,ground1 house1 park0,"1,2,3,4",4,house,living,reinforced concrete construction,840505.0,169.64,3,2,2,Yes,No,5800000,34190.0,,0.0,0,RPPNMLQJQHOFFDF78CA
Xindian,House and land (land + building),43.8,Factory,,,1080625,ground1 house1 park0,3,4,apartment,factory,reinforced concrete construction,700829.0,81.84,4,0,4,Yes,Yes,8000000,97752.0,,0.0,0,RPXOMLMJQHOFFCF56CA
Xindian,House and land (land + building),24.61,Living,,,1080707,ground1 house1 park0,3,4,apartment,living,reinforced concrete construction,,75.4,2,2,1,Yes,No,8600000,114058.0,,0.0,0,RPVNMLLJQHOFFCF78CA
Xinzhuang,House and land (land + building) + parking space,48.34,Factory,,,1080722,ground1 house1 park3,"1,2,3,4",4,house,other,reinforced concrete construction,981117.0,199.73999999999900,6,2,4,Yes,Yes,15000000,75098.0,parking area,0.0,0,RPXRMLQJQHOFFBF17CA
Banqiao,House and land (land + building),27.0,Living,,,1080618,ground1 house1 park0,1,4,apartment,other,reinforced concrete reinforced brickwork,790411.0,80.97,3,1,1,Yes,No,18500000,228480.0,,0.0,0,RPSNMLMJQHOFFAF38CA
Banqiao,House and land (land + building),43.25,Living,,,1080702,ground3 house1 park0,2,4,apartment,living,strengthen brickwork,,71.44,0,1,1,Yes,No,8500000,118981.0,,0.0,0,RPRNOLLMPHOFFAF58CA
Banqiao,House and land (land + building),22.71,Living,,,1080524,ground1 house1 park0,4,4,apartment,living,strengthen brickwork,,70.65,3,2,1,Yes,No,6100000,86341.0,,0.0,0,RPXNMLSKPHOFFAF86CA
Xinzhuang,House and land (land + building),33.15,Living,,,1080526,ground1 house1 park0,2,4,apartment,living,reinforced concrete construction,660818.0,86.15,3,2,1,Yes,No,7300000,84736.0,,0.0,0,RPPNNLSKPHOFFBF88CA
Xindian,House and land (land + building),37.74,Living,,,1080625,ground1 house1 park0,3,4,apartment,living,reinforced concrete construction,680515.0,81.74,2,2,1,Yes,No,5400000,66063.0,,0.0,0,RPRNMLPKPHOFFCF78CA
Xindian,House and land (land + building),20.36,Living,,,1080618,ground2 house1 park0,3,4,apartment,living,strengthen brickwork,,69.24,2,2,1,Yes,No,9880000,142692.0,,0.0,0,RPXOMLRKPHOFFCF07CA
Xizhi,House and land (land + building),23.0,Living,,,1080605,ground1 house1 park0,3,4,apartment,living,reinforced concrete construction,680807.0,81.51,2,2,1,Yes,No,7000000,85879.0,,0.0,0,RPPPMLMKPHOFFDF58CA
Xizhi,House and land (land + building),34.25,Business,,,1080618,ground2 house1 park0,3,4,apartment,living,reinforced concrete construction,,116.29,3,2,2,Yes,No,8200000,70513.0,,0.0,0,RPSQMLQKPHOFFDF76CA
Freshwater,House and land (land + building) + parking space,96.46,Living,,,1080620,ground1 house1 park1,"1,2,3,4",4,house,living,reinforced concrete construction,971219.0,251.99,3,3,3,Yes,Yes,17000000,67463.0,parking area,26.76,0,RPSSMLNKQHOFFEF86CA
Sanzhong,House and land (land + building),17.61,Living,,,1080517,ground1 house1 park0,1,4,apartment,living,strengthen brickwork,621113.0,40.32,2,1,1,Yes,No,7000000,173611.0,,0.0,0,RPQQMLLKPHOFFGF98CA
Luzhou,House and land (land + building),20.74,Living,,,1080615,ground1 house1 park0,3,4,apartment,living,reinforced concrete construction,680122.0,66.0,2,1,1,Yes,No,6300000,95455.0,,0.0,0,RPRNMLMKPHOFFGF88CA
Luzhou,House and land (land + building),19.83,Living,,,1080618,ground2 house1 park0,4,4,apartment,living,strengthen brickwork,640826.0,66.0,3,2,2,Yes,No,6250000,94697.0,,0.0,0,RPPRMLMKPHOFFGF09CA
Sanzhong,House and land (land + building),22.5,Living,,,1080521,ground1 house1 park0,1,4,apartment,living,reinforced concrete construction,660924.0,69.0,3,1,1,Yes,No,11700000,169565.0,,0.0,0,RPWUMLMKPHOFFGF47CA
Luzhou,House and land (land + building),41.08,Living,,,1080530,ground2 house1 park0,4,4,apartment,living,reinforced concrete construction,680807.0,85.0,3,2,1,Yes,No,7000000,82353.0,,0.0,0,RPSNMLQKPHOFFGF76CA
Yonghe,House and land (land + building),17.55,Business,,,1080605,ground1 house1 park0,1,4,apartment,living,reinforced concrete construction,640419.0,43.22,3,2,2,Yes,No,5000000,115687.0,,0.0,0,RPTNMLQKPHOFFHF96CA
Zhonghe,House and land (land + building),38.27,Living,,,1080603,ground1 house1 park0,2,4,apartment,living,reinforced concrete construction,691018.0,85.56,3,2,2,Yes,No,8000000,93502.0,,0.0,0,RPQQMLQKPHOFFHF96CA
Zhonghe,House and land (land + building),42.51,Living,,,1080528,ground1 house1 park0,3,4,apartment,living,other,610415.0,112.29,4,2,2,Yes,No,11380000,101345.0,,0.0,0,RPUPMLNLPHOFFHF07CA
Xindian,House and land (land + building),43.44,Living,,,1080517,ground2 house1 park0,2,4,apartment,living,strengthen brickwork,660527.0,76.6,3,2,1,Yes,No,8200000,107050.0,,0.0,0,RPWNMLKLPHOFFCF98DA
Zhonghe,House and land (land + building),25.36,Living,,,1080604,ground1 house1 park0,2,4,apartment,living,strengthen brickwork,621022.0,73.1,3,2,2,Yes,No,6320000,86457.0,,0.0,0,RPTRMLLKPHOFFHF96DA
Zhonghe,House and land (land + building),26.21,Living,,,1080611,ground1 house1 park0,4,4,apartment,living,reinforced concrete construction,680718.0,75.6,3,1,1,Yes,No,6000000,79365.0,,0.0,0,RPRNMLMKPHOFFHF09DA
Zhonghe,House and land (land + building),19.46,Living,,,1080704,ground2 house1 park0,3,4,apartment,living,strengthen brickwork,650705.0,43.2,2,1,1,Yes,No,5000000,115741.0,,0.0,0,RPOOMLPKPHOFFHF66EA
Banqiao,House and land (land + building),25.0,Living,,,1080530,ground1 house1 park0,1,4,apartment,living,strengthen brickwork,630416.0,79.0,3,2,1,Yes,No,8000000,101266.0,,0.0,0,RPOOMLPKPHOFFAF58EA
Three Gorges,House and land (land + building) + parking space,130.23,Living,,,1080602,ground3 house1 park1,"1,2,3,4",4,house,living,reinforced concrete construction,980303.0,338.98,4,3,3,Yes,No,29100000,85846.0,parking area,16.45,0,RPUPMLPKPHOFFIF37DA
Yonghe,House and land (land + building),47.78,Living,,,1080528,ground7 house1 park0,4,4,apartment,living,other,630525.0,116.21,13,0,13,Yes,No,14200000,122193.0,,0.0,0,RPURMLLJQHOFFHF07DA
Freshwater,House and land (land + building) + parking space,108.04,Living,,,1080614,ground1 house1 park2,"1,2,3,4",4,house,living,reinforced concrete construction,960814.0,266.55,7,2,4,Yes,Yes,16250000,60964.0,other,27.94,0,RPVSMLOLPHOFFEF37DA
Tree,House and land (land + building),19.93,Living,,,1080605,ground2 house1 park0,2,4,apartment,living,reinforced concrete construction,660802.0,71.52,3,1,1,Yes,No,5200000,72707.0,,0.0,0,RPUQMLMLPHOFFIF17CA
Zhonghe,House and land (land + building),33.65,Living,,,1080613,ground1 house1 park0,2,4,apartment,living,reinforced concrete construction,630415.0,84.01,3,1,1,Yes,No,8750000,104154.0,,0.0,0,RPUNMLRKPHOFFHF17CA
Zhonghe,House and land (land + building),15.63,Living,,,1080704,ground1 house1 park0,1,4,apartment,living,strengthen brickwork,660128.0,71.86,1,1,1,Yes,No,4600000,64013.0,,0.0,0,RPRNMLOKPHOFFHF56CA
Sanzhong,House and land (land + building),21.56,Living,,,1080626,ground3 house1 park0,2,4,apartment,living,reinforced concrete construction,760122.0,49.17,2,1,1,Yes,No,4500000,91519.0,,0.0,0,RPPOMLRJQHOFFGF66CA
Sanzhong,House and land (land + building),24.25,Living,,,1080611,ground1 house1 park0,2,4,apartment,living,reinforced concrete construction,670201.0,68.0,3,2,2,Yes,No,7250000,106618.0,,0.0,0,RPSPMLSKPHOFFGF17CA
Freshwater,House and land (land + building),67.38,Other,,,1080621,ground2 house1 park0,2,4,apartment,living,reinforced concrete construction,701128.0,105.42,3,2,1,Yes,No,3500000,33201.0,,0.0,0,RPSPMLRKPHOFFEF86CA
Xindian,House and land (land + building),35.85,Other,,,1080605,ground2 house1 park0,4,4,apartment,living,reinforced concrete construction,640402.0,98.56,3,2,1,Yes,No,10000000,101461.0,,0.0,0,RPVOMLOLPHOFFCF66CA
Xindian,House and land (land + building),28.7,Other,,,1080609,ground1 house1 park0,2,4,apartment,living,reinforced concrete construction,671123.0,86.11,2,2,1,Yes,Yes,5940000,68982.0,,0.0,0,RPPNMLTKPHOFFCF98CA
Xindian,House and land (land + building),47.38,Living,,,1080611,ground8 house1 park0,4,4,apartment,living,strengthen brickwork,650521.0,91.13,3,2,1,Yes,No,11000000,120707.0,,0.0,0,RPQOMLQKPHOFFCF88CA
Linkou,House and land (land + building) + parking space,148.74,Living,,,1080625,ground1 house1 park5,"1,2,3,4",4,house,other,reinforced concrete construction,1010604.0,426.64,4,3,4,Yes,Yes,39500000,92584.0,parking area,83.53,0,RPQSMLTKPHOFFBF86CA
Xinzhuang,House and land (land + building),19.63,Living,,,1080518,ground1 house1 park0,1,4,apartment,living,strengthen brickwork,640118.0,61.57,0,0,0,No,No,9660000,156895.0,,0.0,0,RPVTMLRKPHOFFBF27CA
Banqiao,House and land (land + building),29.0,Living,,,1080616,ground1 house1 park0,4,4,apartment,living,reinforced concrete construction,671124.0,85.56,3,2,1,Yes,No,8600000,100514.0,,0.0,0,RPSPMLSKPHOFFAF56CA
Tree,House and land (land + building),85.5,Living,,,1080611,ground1 house1 park0,"1,2,3,4",4,house,living,reinforced concrete construction,830421.0,184.55,6,2,4,Yes,Yes,8680000,47033.0,,0.0,0,RPXWMLSKPHOFFIF68DA
Banqiao,House and land (land + building),20.25,Living,,,1080614,ground1 house1 park0,4,4,apartment,living,reinforced concrete construction,630905.0,75.0,3,1,1,Yes,No,7200000,96000.0,,0.0,0,RPPPMLPKPHOFFAF68DA
Xinzhuang,House and land (land + building),14.04,Living,,,1080706,ground1 house1 park0,2,4,apartment,living,reinforced concrete construction,661109.0,45.26,3,2,1,Yes,No,3000000,66284.0,,0.0,0,RPPQMLTKPHOFFBF66DA
Banqiao,House and land (land + building),34.25,Living,,,1080624,ground1 house1 park0,4,4,apartment,living,strengthen brickwork,,105.12,4,2,2,Yes,No,6000000,57078.0,,0.0,0,RPRNMLNLPHOFFAF68EA
Xinzhuang,House and land (land + building),23.74,Living,,,1080624,ground2 house1 park0,4,4,apartment,living,reinforced concrete construction,681224.0,81.49,3,1,1,Yes,No,7800000,95717.0,,0.0,0,RPVQMLPKPHOFFBF96EA
Tucheng,House and land (land + building),13.51,Living,,,1080616,ground1 house1 park0,2,4,apartment,living,strengthen brickwork,650929.0,48.58,1,1,1,Yes,No,3700000,76163.0,,0.0,0,RPSQMLPKPHOFFAF98CA
Xinzhuang,House and land (land + building),85.7,Factory,,,1080326,ground3 house1 park0,"1,2,3,4",4,house,other,reinforced concrete construction,951109.0,257.37,3,2,3,Yes,Yes,20000000,77709.0,,0.0,0,RPPRMLQKPHOFFBF98CA
Sanzhong,House and land (land + building),22.5,Living,,,1080618,ground1 house1 park0,4,4,apartment,living,strengthen brickwork,620209.0,74.93,3,2,2,Yes,No,8328000,111144.0,,0.0,0,RPSOMLRKPHOFFGF96CA
Luzhou,House and land (land + building),26.33,Living,,,1080613,ground1 house1 park0,3,4,apartment,living,reinforced concrete construction,690214.0,92.0,3,2,2,Yes,No,7830000,85109.0,,0.0,0,RPOOMLMJQHOFFGF68CA
Zhonghe,House and land (land + building),28.02,Living,,,1080620,ground1 house1 park0,3,4,apartment,living,reinforced concrete construction,670201.0,75.44,2,2,1,Yes,No,6000000,79533.0,,0.0,0,RPSPMLSKPHOFFHF27CA
Luzhou,House and land (land + building),23.63,Living,,,1080629,ground1 house1 park0,2,4,apartment,living,reinforced concrete construction,661111.0,72.0,3,2,2,Yes,No,6730000,93472.0,,0.0,0,RPWOMLNLPHOFFGF07CA
Sanzhong,House and land (land + building),24.25,Living,,,1080430,ground1 house1 park0,1,4,apartment,living,reinforced concrete construction,680308.0,82.0,1,2,1,Yes,No,10500000,128049.0,,0.0,0,RPWNMLQLPHOFFGF27CA
Xizhi,House and land (land + building),14.0,Living,,,1080702,ground1 house1 park0,4,4,apartment,living,reinforced concrete construction,701229.0,42.45,3,1,1,Yes,No,2500000,58893.0,,0.0,0,RPWOMLPLPHOFFDF96CA
Xinzhuang,House and land (land + building),21.19,Living,,,1080522,ground1 house1 park0,4,4,apartment,living,reinforced concrete construction,680511.0,67.88,2,1,1,Yes,No,6000000,88391.0,,0.0,0,RPTPMLPJQHOFFBF09CA
Taishan,House and land (land + building),98.66,Living,,,1080521,ground2 house1 park0,"1,2,3,4",4,house,living,reinforced concrete construction,971127.0,250.4,5,3,7,Yes,Yes,23880000,95367.0,,0.0,0,RPOQMLOLPHOFFBF68CA
Banqiao,House and land (land + building),22.75,Living,,,1080608,ground1 house1 park0,4,4,apartment,living,strengthen brickwork,640901.0,87.25,3,2,1,Yes,No,8580000,98338.0,,0.0,0,RPWOMLQKPHOFFAF66CA
Sanzhong,House and land (land + building),33.25,Living,,,1080621,ground2 house1 park0,4,4,apartment,living,reinforced concrete construction,680427.0,92.0,3,1,1,Yes,No,8340000,90652.0,,0.0,0,RPRPMLLMPHOFFGF76EA
Freshwater,House and land (land + building) + parking space,58.51,,hillside conservation area,hillside conservation,1080520,ground1 house1 park1,2,4,apartment,living,reinforced concrete construction,820304.0,130.11,3,1,2,Yes,No,5200000,39966.0,parking area,23.15,0,RPSNMLMLPHOFFEF09EA
Banqiao,House and land (land + building),27.0,Living,,,1080605,ground1 house1 park0,4,4,apartment,living,reinforced concrete reinforced brickwork,790411.0,97.45,3,2,1,Yes,No,10400000,106721.0,,0.0,0,RPQPMLMLQHOFFAF78EA
Yonghe,House and land (land + building),25.66,Living,,,1080531,ground1 house1 park0,1,4,apartment,living,strengthen brickwork,601203.0,74.4,3,2,1,Yes,No,10500000,141129.0,,0.0,0,RPQNMLNJPHOFFHF56CD
Banqiao,House and land (land + building),43.58,Living,,,1080528,ground3 house1 park0,3,4,apartment,living,reinforced concrete construction,,109.54,4,2,2,Yes,No,7180000,65547.0,,0.0,0,RPQPMLQLPHOFFAF98DA
Banqiao,House and land (land + building),25.25,Living,,,1080619,ground1 house1 park0,3,4,apartment,living,strengthen brickwork,,73.76,3,1,1,Yes,No,6300000,85412.0,,0.0,0,RPPOMLQKPHOFFAF68DA
Xizhi,House and land (land + building) + parking space,87.76,,hillside conservation area,hillside conservation,1080601,ground1 house1 park1,"1,2",4,apartment,living,reinforced concrete construction,880430.0,228.23,4,2,3,Yes,Yes,16600000,72734.0,parking area,0.0,1300000,RPQTMLMLPHOFFDF66DA
Sanzhong,House and land (land + building),24.0,Living,,,1080610,ground1 house1 park0,2,4,apartment,living,reinforced concrete construction,631128.0,67.8,3,2,1,Yes,No,7300000,107670.0,,0.0,0,RPPNMLKLPHOFFGF68DA
Yonghe,House and land (land + building),21.02,Business,,,1080528,ground1 house1 park0,4,4,apartment,living,other,630907.0,58.44,5,2,3,Yes,No,7250000,124059.0,,0.0,0,RPVNMLKLPHOFFHF76DA
Xindian,House and land (land + building),36.36,Living,,,1080604,ground1 house1 park0,1,4,apartment,living,reinforced concrete construction,660125.0,93.44,5,2,2,Yes,No,18500000,197988.0,,0.0,0,RPQNMLMLPHOFFCF58DA
Xizhi,House and land (land + building) + parking space,83.44,,hillside conservation area,hillside conservation,1080703,ground2 house1 park1,"3,4",4,mansion,living,reinforced concrete construction,850628.0,182.11,3,2,3,Yes,Yes,7200000,39537.0,parking area,0.0,0,RPPNMLLLPHOFFDF48DA
Yinge,House and land (land + building),121.34,Living,,,1080626,ground4 house1 park0,"1,2,3,4",4,house,other,reinforced concrete construction,1011113.0,275.049999999999,4,1,2,Yes,Yes,19880000,72278.0,,0.0,0,RPVNMLMLQHOFFIF27EA
Banqiao,House and land (land + building),35.25,Living,,,1080610,ground1 house1 park0,1,4,apartment,living,reinforced concrete construction,,79.32,4,2,2,Yes,No,12860000,162128.0,,0.0,0,RPROMLSKPHOFFAF98CA
Taishan,House and land (land + building),22.5,Living,,,1080516,ground2 house1 park0,4,4,apartment,living,strengthen brickwork,641205.0,89.44,4,2,2,Yes,No,6200000,69320.0,,0.0,0,RPQPMLLMPHOFFBF58CA
Jinshan,House and land (land + building),30.71,Business,,,1080506,ground2 house1 park0,2,4,apartment,living,reinforced concrete construction,690326.0,111.15,3,2,1,Yes,No,2980000,26811.0,,0.0,0,RPVNMLPKQHOFFDF76CA
Freshwater,House and land (land + building),20.79,Living,,,1080619,ground1 house1 park0,"3,",4,apartment,living,reinforced concrete construction,670621.0,72.78,3,2,2,Yes,No,4000000,54960.0,,0.0,0,RPTRMLOLPHOFFEF96CA
Sanzhong,House and land (land + building),20.5,Living,,,1080619,ground1 house1 park0,3,4,apartment,living,reinforced concrete construction,661124.0,78.0,3,2,1,Yes,No,6000000,76923.0,,0.0,0,RPROMLRKPHOFFGF86CA
Sanzhong,House and land (land + building),22.0,Living,,,1080625,ground1 house1 park0,3,4,apartment,living,strengthen brickwork,611101.0,66.3,2,2,1,Yes,No,6250000,94268.0,,0.0,0,RPXRMLNLPHOFFGF47CA
Zhonghe,House and land (land + building),32.34,Living,,,1080617,ground1 house1 park0,4,4,apartment,living,reinforced concrete construction,650514.0,88.68,3,2,1,Yes,No,9950000,112201.0,,0.0,0,RPSNMLRKPHOFFHF96CA
Zhonghe,House and land (land + building),26.2,Living,,,1080619,ground1 house1 park0,2,4,apartment,living,reinforced concrete construction,661024.0,94.08,2,1,1,Yes,No,3700000,39328.0,,0.0,0,RPPQMLSKPHOFFHF07CA
Yonghe,House and land (land + building),34.95,Living,,,1080610,ground2 house1 park0,3,4,apartment,living,reinforced concrete construction,660726.0,94.64,3,2,1,Yes,No,10050000,106192.0,,0.0,0,RPSNMLSKPHOFFHF07CA
Zhonghe,House and land (land + building),20.45,Living,,,1080526,ground1 house1 park0,4,4,apartment,living,reinforced concrete construction,660604.0,70.0,1,2,1,Yes,No,6620000,94571.0,,0.0,0,RPXPMLNLPHOFFHF37CA
Zhonghe,House and land (land + building),34.73,Living,,,1080528,ground1 house1 park0,1,4,apartment,living,reinforced concrete construction,660430.0,90.15,6,0,6,Yes,No,15000000,166389.0,,0.0,0,RPQNMLPJQHOFFHF56CA
Zhonghe,House and land (land + building),44.26,Living,,,1080618,ground1 house1 park0,3,4,apartment,living,strengthen brickwork,650831.0,88.55,3,1,1,Yes,No,7500000,84698.0,,0.0,0,RPRNMLKMQHOFFHF09CA
Yinge,House and land (land + building),46.53,,rural area,rural,1080429,ground1 house1 park0,"1,2",4,apartment,living,reinforced concrete construction,,138.52,3,2,2,Yes,No,7350000,53061.0,,0.0,0,RPQPMLMLPHOFFIF66CA
Yinge,House and land (land + building),24.94,Living,,,1080627,ground1 house1 park0,4,4,apartment,living,reinforced concrete construction,,77.81,3,2,1,Yes,No,2380000,30587.0,,0.0,0,RPSTMLTKPHOFFIF87CA
Yonghe,House and land (land + building),35.75,Living,,,1080526,ground1 house1 park0,2,4,apartment,other,other,651206.0,90.82,3,2,1,Yes,No,11000000,121119.0,,0.0,0,RPOPMLLMPHOFFHF98CA
Yonghe,House and land (land + building),42.7,Living,,,1080622,ground1 house1 park0,3,4,apartment,other,other,620426.0,103.25,3,2,2,Yes,No,10000000,96852.0,,0.0,0,RPRNMLKLPHOFFHF88CA
Zhonghe,House and land (land + building),31.14,Living,,,1080616,ground1 house1 park0,4,4,apartment,other,other,630810.0,90.44,5,0,5,Yes,No,13750000,152034.0,,0.0,0,RPSRMLTKPHOFFHF57CA
Yonghe,House and land (land + building),29.0,Living,,,1080617,ground1 house1 park0,1,4,apartment,living,strengthen brickwork,620509.0,69.69,3,2,1,Yes,No,12500000,179366.0,,0.0,0,RPURMLTKPHOFFHF77CA
Zhonghe,House and land (land + building),28.79,Living,,,1080604,ground1 house1 park0,2,4,apartment,living,reinforced concrete construction,661212.0,102.26,3,2,2,Yes,No,9100000,88989.0,,0.0,0,RPOPMLMLPHOFFHF98CA
Sanzhong,House and land (land + building),19.8,Living,,,1080627,ground1 house1 park0,1,4,apartment,business,strengthen brickwork,631102.0,48.06,2,1,1,Yes,No,7500000,156055.0,,0.0,0,RPSOMLPLPHOFFGF86CA
Luzhou,House and land (land + building),27.35,Living,,,1080411,ground2 house1 park0,4,4,apartment,living,reinforced concrete construction,671220.0,83.0,4,0,4,Yes,No,9100000,109639.0,,0.0,0,RPVPMLLMPHOFFGF96CA
Jinshan,House and land (land + building),151.25,Living,,,1080620,ground1 house1 park0,"1,2,3,4",4,house,living,reinforced concrete construction,840505.0,386.79,5,2,3,Yes,No,14000000,36195.0,,0.0,0,RPQNNLNLPHOFFDF78CA
Xindian,House and land (land + building),35.46,Living,,,1080718,ground1 house1 park0,2,4,apartment,living,reinforced concrete construction,680731.0,98.95,3,2,2,Yes,No,12000000,121273.0,,0.0,0,RPRNMLNKQHOFFCF68CA
Xindian,House and land (land + building),66.59,,hillside conservation area,hillside conservation,1080604,ground1 house1 park0,4,4,apartment,living,reinforced concrete construction,870609.0,80.16,1,2,1,Yes,Yes,5200000,64870.0,,0.0,0,RPQPMLPLPHOFFCF98CA
Xinzhuang,House and land (land + building),29.34,Living,,,1080527,ground1 house1 park0,4,4,apartment,living,reinforced concrete construction,650612.0,97.64,3,1,1,Yes,No,4520000,46293.0,,0.0,0,RPUOMLNLPHOFFBF98CA
Zhonghe,House and land (land + building),28.47,Living,,,1080616,ground4 house1 park0,2,4,apartment,living,strengthen brickwork,600110.0,77.98,3,1,1,Yes,No,7680000,98487.0,,0.0,0,RPSQMLTKPHOFFHF67EA
Banqiao,House and land (land + building),21.5,Living,,,1080531,ground1 house1 park0,4,4,apartment,living,strengthen brickwork,620727.0,73.56,3,2,1,Yes,No,7000000,95160.0,,0.0,0,RPWRMLOLPHOFFAF07EA
Wugu,House and land (land + building),25.85,Living,,,1080630,ground1 house1 park0,4,4,apartment,living,reinforced concrete construction,680629.0,88.99,0,2,1,Yes,No,4000000,44949.0,,0.0,0,RPSQMLMLPHOFFBF98DA
Yonghe,House and land (land + building),31.75,Living,,,1080601,ground1 house1 park0,4,4,apartment,living,reinforced concrete construction,620427.0,87.47,3,2,2,Yes,No,9200000,105179.0,,0.0,0,RPXNMLKLPHOFFHF96DA
Gongliao,House and land (land + building),67.32,Living,,,1080409,ground1 house1 park0,"1,2,3,4",4,house,business,reinforced concrete construction,840104.0,199.92,4,2,3,Yes,No,2600000,13005.0,,0.0,0,RPTNMLSJQHOFFFF07DA
Xizhi,House and land (land + building),34.96,,hillside conservation area,hillside conservation,1080409,ground1 house1 park0,1,4,vendor,living,reinforced concrete construction,710828.0,83.7,2,1,1,Yes,No,4500000,53763.0,,0.0,0,RPUPMLQJQHOFFDF96DA
Xizhi,House and land (land + building),34.96,,hillside conservation area,hillside conservation,1080409,ground1 house1 park0,2,4,apartment,living,reinforced concrete construction,710828.0,83.7,3,1,1,Yes,No,2100000,25090.0,,0.0,0,RPOQMLQJQHOFFDF09DA
Xizhi,House and land (land + building),34.96,,hillside conservation area,hillside conservation,1080409,ground1 house1 park0,3,4,apartment,living,reinforced concrete construction,710828.0,83.7,3,1,1,Yes,No,2000000,23895.0,,0.0,0,RPRQMLQJQHOFFDF76DA
Xizhi,House and land (land + building),34.96,,hillside conservation area,hillside conservation,1080409,ground1 house1 park0,4,4,apartment,living,reinforced concrete construction,710828.0,83.7,3,1,1,Yes,No,1900000,22700.0,,0.0,0,RPTQMLQJQHOFFDF96DA
Banqiao,House and land (land + building),27.26,Living,,,1080630,ground1 house1 park0,2,4,apartment,living,reinforced concrete construction,,83.27,3,2,1,Yes,No,7100000,85265.0,,0.0,0,RPQRMLTKPHOFFAF76DA
Xizhi,House and land (land + building),27.3,,rural area,rural,1080625,ground5 house1 park0,3,4,apartment,living,reinforced concrete construction,690117.0,92.32,3,2,1,Yes,No,7800000,84489.0,,0.0,0,RPSNMLMLPHOFFDF98EA
Banqiao,House and land (land + building),26.0,Living,,,1080621,ground1 house1 park0,1,4,apartment,living,strengthen brickwork,,66.96,3,2,2,Yes,No,13500000,201613.0,,0.0,0,RPTPMLMLPHOFFAF78CA
Tucheng,House and land (land + building),28.42,Living,,,1080526,ground1 house1 park0,2,4,apartment,living,reinforced concrete construction,680619.0,76.29,3,2,1,Yes,No,7800000,102241.0,,0.0,0,RPSNOLLMPHOFFAF68CA
Banqiao,House and land (land + building),41.25,Living,,,1080621,ground3 house1 park0,4,4,apartment,living,reinforced concrete construction,640317.0,100.15,3,2,2,Yes,No,10600000,105841.0,,0.0,0,RPWOMLOLPHOFFAF56CA
Banqiao,House and land (land + building),20.75,Living,,,1080513,ground1 house1 park0,1,4,vendor,living,strengthen brickwork,,56.28,2,1,1,Yes,No,14600000,259417.0,,0.0,0,RPUQMLNLPHOFFAF09CA
Xindian,House and land (land + building),31.94,Living,,,1080621,ground1 house1 park0,4,4,apartment,living,reinforced concrete construction,670809.0,103.69,3,2,2,Yes,No,9150000,88244.0,,0.0,0,RPTPMLMLPHOFFCF98CA
Xindian,House and land (land + building),47.96,Living,,,1080523,ground3 house1 park0,1,4,apartment,living,strengthen brickwork,630904.0,83.0,3,2,2,Yes,No,8100000,97590.0,,0.0,0,RPROMLNLPHOFFCF78CA
Freshwater,House and land (land + building),449.04,,hillside conservation area,hillside conservation,1080513,ground1 house1 park0,"1,2,3,4",4,house,living,reinforced concrete construction,1000616.0,354.85,3,3,3,Yes,Yes,40000000,112724.0,,0.0,0,RPPNMLQKQHOFFEF98CA
Zhonghe,House and land (land + building),29.44,Living,,,1080614,ground1 house1 park0,3,4,apartment,other,other,620503.0,85.14,3,2,1,Yes,No,11280000,132488.0,,0.0,0,RPRQMLNLPHOFFHF86CA
Zhonghe,House and land (land + building),24.35,Living,,,1080620,ground2 house1 park0,3,4,apartment,living,reinforced concrete construction,660804.0,64.0,2,1,2,Yes,No,6000000,93750.0,,0.0,0,RPTQMLOLPHOFFHF17CA
Zhonghe,House and land (land + building),25.11,Living,,,1080625,ground1 house1 park0,3,4,apartment,living,strengthen brickwork,640526.0,73.88,2,1,1,Yes,No,5700000,77152.0,,0.0,0,RPOQMLPLPHOFFHF76CA
Zhonghe,House and land (land + building),20.51,Living,,,1080704,ground1 house1 park0,2,4,apartment,living,strengthen brickwork,620303.0,61.0,2,2,2,Yes,No,6700000,109836.0,,0.0,0,RPQNMLLJQHOFFHF78CA
